Statistic,Quarter,NACE Rev 2 Economic Sector,value
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,All NACE economic sectors,38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"Agriculture, forestry and fishing (A)",52.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Construction (F),41.6
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Transportation and storage (H),42.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Accommodation and food service activities (I),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Information and communication (J),39.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"Professional, scientific and technical activities (M)",40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Administrative and support service activities (N),34.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Public administration and defence; compulsory social security (O),38.3
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Education (P),29.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Human health and social work activities (Q),34.0
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Industry (B to E),40.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,"Financial, insurance and real estate activities (K, L)",38.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Other NACE activities (R to U),33.2
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Industry and Construction (B to F),40.5
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Services (G to U),35.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q1,Not stated,33.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,All NACE economic sectors,38.4
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,"Agriculture, forestry and fishing (A)",54.1
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Construction (F),41.9
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),36.8
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Transportation and storage (H),41.7
Average Usual Hours Worked per Week by Persons aged 15 years and over in Employment (ILO),1998Q2,Accommodation and food service activities (I),34.8
