Statistic,Quarter,NACE Rev 2 Economic Sector,value
Students aged 15 years and over in employment (PES),1998Q1,All NACE economic sectors,54.1
Students aged 15 years and over in employment (PES),1998Q1,"Agriculture, forestry and fishing (A)",3.0
Students aged 15 years and over in employment (PES),1998Q1,Construction (F),
Students aged 15 years and over in employment (PES),1998Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),21.8
Students aged 15 years and over in employment (PES),1998Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1998Q1,Accommodation and food service activities (I),15.5
Students aged 15 years and over in employment (PES),1998Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),1998Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),1998Q1,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),1998Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1998Q1,Education (P),1.3
Students aged 15 years and over in employment (PES),1998Q1,Human health and social work activities (Q),
Students aged 15 years and over in employment (PES),1998Q1,Industry (B to E),2.0
Students aged 15 years and over in employment (PES),1998Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),1998Q1,Other NACE activities (R to U),3.9
Students aged 15 years and over in employment (PES),1998Q1,Industry and Construction (B to F),2.6
Students aged 15 years and over in employment (PES),1998Q1,Services (G to U),48.3
Students aged 15 years and over in employment (PES),1998Q1,Not stated,
Students aged 15 years and over in employment (PES),1998Q2,All NACE economic sectors,60.4
Students aged 15 years and over in employment (PES),1998Q2,"Agriculture, forestry and fishing (A)",3.6
Students aged 15 years and over in employment (PES),1998Q2,Construction (F),
Students aged 15 years and over in employment (PES),1998Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.6
Students aged 15 years and over in employment (PES),1998Q2,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1998Q2,Accommodation and food service activities (I),16.9
Students aged 15 years and over in employment (PES),1998Q2,Information and communication (J),
Students aged 15 years and over in employment (PES),1998Q2,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),1998Q2,Administrative and support service activities (N),1.9
Students aged 15 years and over in employment (PES),1998Q2,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1998Q2,Education (P),1.3
Students aged 15 years and over in employment (PES),1998Q2,Human health and social work activities (Q),1.6
Students aged 15 years and over in employment (PES),1998Q2,Industry (B to E),3.1
Students aged 15 years and over in employment (PES),1998Q2,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),1998Q2,Other NACE activities (R to U),4.6
Students aged 15 years and over in employment (PES),1998Q2,Industry and Construction (B to F),3.9
Students aged 15 years and over in employment (PES),1998Q2,Services (G to U),52.8
Students aged 15 years and over in employment (PES),1998Q2,Not stated,
Students aged 15 years and over in employment (PES),1998Q3,All NACE economic sectors,89.0
Students aged 15 years and over in employment (PES),1998Q3,"Agriculture, forestry and fishing (A)",6.6
Students aged 15 years and over in employment (PES),1998Q3,Construction (F),3.4
Students aged 15 years and over in employment (PES),1998Q3,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),28.9
Students aged 15 years and over in employment (PES),1998Q3,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1998Q3,Accommodation and food service activities (I),21.8
Students aged 15 years and over in employment (PES),1998Q3,Information and communication (J),
Students aged 15 years and over in employment (PES),1998Q3,"Professional, scientific and technical activities (M)",2.1
Students aged 15 years and over in employment (PES),1998Q3,Administrative and support service activities (N),2.1
Students aged 15 years and over in employment (PES),1998Q3,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1998Q3,Education (P),1.3
Students aged 15 years and over in employment (PES),1998Q3,Human health and social work activities (Q),2.8
Students aged 15 years and over in employment (PES),1998Q3,Industry (B to E),8.5
Students aged 15 years and over in employment (PES),1998Q3,"Financial, insurance and real estate activities (K, L)",2.1
Students aged 15 years and over in employment (PES),1998Q3,Other NACE activities (R to U),6.4
Students aged 15 years and over in employment (PES),1998Q3,Industry and Construction (B to F),11.9
Students aged 15 years and over in employment (PES),1998Q3,Services (G to U),70.4
Students aged 15 years and over in employment (PES),1998Q3,Not stated,
Students aged 15 years and over in employment (PES),1998Q4,All NACE economic sectors,52.2
Students aged 15 years and over in employment (PES),1998Q4,"Agriculture, forestry and fishing (A)",2.5
Students aged 15 years and over in employment (PES),1998Q4,Construction (F),
Students aged 15 years and over in employment (PES),1998Q4,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),22.1
Students aged 15 years and over in employment (PES),1998Q4,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1998Q4,Accommodation and food service activities (I),14.9
Students aged 15 years and over in employment (PES),1998Q4,Information and communication (J),
Students aged 15 years and over in employment (PES),1998Q4,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),1998Q4,Administrative and support service activities (N),
Students aged 15 years and over in employment (PES),1998Q4,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1998Q4,Education (P),
Students aged 15 years and over in employment (PES),1998Q4,Human health and social work activities (Q),1.4
Students aged 15 years and over in employment (PES),1998Q4,Industry (B to E),2.0
Students aged 15 years and over in employment (PES),1998Q4,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),1998Q4,Other NACE activities (R to U),3.7
Students aged 15 years and over in employment (PES),1998Q4,Industry and Construction (B to F),2.9
Students aged 15 years and over in employment (PES),1998Q4,Services (G to U),46.6
Students aged 15 years and over in employment (PES),1998Q4,Not stated,
Students aged 15 years and over in employment (PES),1999Q1,All NACE economic sectors,63.7
Students aged 15 years and over in employment (PES),1999Q1,"Agriculture, forestry and fishing (A)",3.8
Students aged 15 years and over in employment (PES),1999Q1,Construction (F),
Students aged 15 years and over in employment (PES),1999Q1,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),25.7
Students aged 15 years and over in employment (PES),1999Q1,Transportation and storage (H),
Students aged 15 years and over in employment (PES),1999Q1,Accommodation and food service activities (I),18.1
Students aged 15 years and over in employment (PES),1999Q1,Information and communication (J),
Students aged 15 years and over in employment (PES),1999Q1,"Professional, scientific and technical activities (M)",
Students aged 15 years and over in employment (PES),1999Q1,Administrative and support service activities (N),1.8
Students aged 15 years and over in employment (PES),1999Q1,Public administration and defence; compulsory social security (O),
Students aged 15 years and over in employment (PES),1999Q1,Education (P),1.5
Students aged 15 years and over in employment (PES),1999Q1,Human health and social work activities (Q),1.8
Students aged 15 years and over in employment (PES),1999Q1,Industry (B to E),1.8
Students aged 15 years and over in employment (PES),1999Q1,"Financial, insurance and real estate activities (K, L)",
Students aged 15 years and over in employment (PES),1999Q1,Other NACE activities (R to U),5.0
Students aged 15 years and over in employment (PES),1999Q1,Industry and Construction (B to F),2.4
Students aged 15 years and over in employment (PES),1999Q1,Services (G to U),57.3
Students aged 15 years and over in employment (PES),1999Q1,Not stated,
Students aged 15 years and over in employment (PES),1999Q2,All NACE economic sectors,81.4
Students aged 15 years and over in employment (PES),1999Q2,"Agriculture, forestry and fishing (A)",4.8
Students aged 15 years and over in employment (PES),1999Q2,Construction (F),2.2
Students aged 15 years and over in employment (PES),1999Q2,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),29.0
